nohup: ignoring input
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 470000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 475000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 480000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 485000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 490000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 495000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 500000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 505000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 510000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 515000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 520000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 525000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 530000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 535000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 540000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 545000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 550000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 555000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 560000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 565000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 570000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 575000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 580000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 585000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 590000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 595000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 600000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 605000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 610000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 615000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 620000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 625000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 630000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 635000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 640000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 645000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 650000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 655000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 660000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 665000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 670000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 675000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 680000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 685000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 690000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 695000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 700000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 705000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 710000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 715000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 720000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 725000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 730000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 735000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 740000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 745000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 750000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 755000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 760000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 765000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 770000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 775000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 780000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 785000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 790000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 795000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 800000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 805000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 810000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 815000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 820000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 825000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 830000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 835000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 840000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 845000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 850000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 855000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 860000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 865000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 870000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 875000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 880000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 885000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 890000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 895000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 900000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 905000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 910000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 915000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 920000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 925000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 930000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 935000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 940000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 945000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 950000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 955000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 960000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 965000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 970000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 975000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 980000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 985000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 990000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 995000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1000000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1005000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1010000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1015000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1020000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1025000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1030000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1035000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1040000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1045000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1050000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1055000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1060000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1065000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1070000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1075000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1080000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1085000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1090000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1095000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1100000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1105000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1110000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1115000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1120000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1125000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1130000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1135000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1140000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1145000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1150000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 1000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1155000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1160000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1165000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 1500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1170000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1175000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 2000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 2500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1180000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1185000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 3000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1190000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1195000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1200000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1205000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1210000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1215000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1220000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 3500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1225000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1230000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1235000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 4000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1240000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1245000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1250000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 4500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1255000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1260000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1265000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1270000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 5000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1275000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1280000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1285000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1290000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 5500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1295000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1300000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1305000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1310000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 6000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1315000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1320000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1325000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 6500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1330000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1335000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1340000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 7000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1345000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1350000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1355000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1360000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1365000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1370000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1375000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 8000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1380000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1385000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1390000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1395000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1400000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 8500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1405000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1410000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1415000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1420000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 9000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1425000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1430000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1435000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1440000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1445000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1450000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1455000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1460000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1465000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 10000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1470000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1475000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 10500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1480000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1485000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1490000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1495000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 11000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1500000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1505000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1510000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1515000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1520000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1525000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1530000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1535000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 11500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1540000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1545000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1550000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1555000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1560000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1565000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1570000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1575000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1580000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1585000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1590000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1595000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1600000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1605000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1610000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1615000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1620000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 12500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1625000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1630000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1635000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 13000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1640000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1645000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1650000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1655000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1660000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 13500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1665000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1670000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1675000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1680000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1685000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1690000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1695000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 14000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1700000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1705000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1710000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 14500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1715000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1720000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1725000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1730000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1735000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 15000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1740000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1745000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1750000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1755000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1760000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1765000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1770000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1775000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1780000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1785000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1790000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 15500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1795000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1800000
