کے
میں
کی
سے
اس
اور
نے
کر
کو
کا
وہ
تو
کہ
ایک
بھی
پر
یہ
نہیں
ان
ہی
تھا
بہت
تھا
ہو
ہے
اپنے
اسے
کیا
بات
